Route_Name,Route_Type,Date,FWD/R,Species,Accurate_Number_Detecteed,Neutral_Number_Detecteed
Agriculture1,ag,8-Jul-25,FWD,EPTFUS,25,30
Agriculture1,ag,8-Jul-25,FWD,LASCIN,8,8
Agriculture1,ag,8-Jul-25,FWD,LASNOC,14,17
Agriculture1,ag,8-Jul-25,FWD,MYOLUC,4,4
Agriculture1,ag,8-Jul-25,FWD,MYOSOD,1,2
Agriculture1,ag,8-Jul-25,FWD,NoID,27,18
Agriculture2,ag,18-Jul-25,FWD,EPTFUS,11,13
Agriculture2,ag,18-Jul-25,FWD,LASBOR,3,3
Agriculture2,ag,18-Jul-25,FWD,LASCIN,5,5
Agriculture2,ag,18-Jul-25,FWD,LASNOC,5,6
Agriculture2,ag,18-Jul-25,FWD,MYOLUC,3,3
Agriculture2,ag,18-Jul-25,FWD,NoID,9,7
Agriculture3,ag,14-Jul-25,FWD,EPTFUS,41,46
Agriculture3,ag,14-Jul-25,FWD,LASBOR,6,6
Agriculture3,ag,14-Jul-25,FWD,LASCIN,6,7
Agriculture3,ag,14-Jul-25,FWD,LASNOC,27,32
Agriculture3,ag,14-Jul-25,FWD,NoID,32,21
Deciduous1,dec,19-Jul-25,FWD,EPTFUS,22,25
Deciduous1,dec,19-Jul-25,FWD,LASBOR,7,7
Deciduous1,dec,19-Jul-25,FWD,LASCIN,2,2
Deciduous1,dec,19-Jul-25,FWD,LASNOC,2,2
Deciduous1,dec,19-Jul-25,FWD,MYOLUC,4,5
Deciduous1,dec,19-Jul-25,FWD,NoID,22,17
Deciduous2,dec,15-Jul-25,FWD,EPTFUS,29,35
Deciduous2,dec,15-Jul-25,FWD,LASBOR,8,8
Deciduous2,dec,15-Jul-25,FWD,LASCIN,8,8
Deciduous2,dec,15-Jul-25,FWD,LASNOC,3,4
Deciduous2,dec,15-Jul-25,FWD,MYOLUC,5,5
Deciduous2,dec,15-Jul-25,FWD,NoID,24,16
Deciduous3,dec,10-Jul-25,FWD,EPTFUS,49,57
Deciduous3,dec,10-Jul-25,FWD,LASBOR,2,2
Deciduous3,dec,10-Jul-25,FWD,LASCIN,6,6
Deciduous3,dec,10-Jul-25,FWD,LASNOC,7,15
Deciduous3,dec,10-Jul-25,FWD,MYOLUC,4,4
Deciduous3,dec,10-Jul-25,FWD,NoID,27,13
Evergreen1,ev,22-Jul-25,FWD,EPTFUS,12,18
Evergreen1,ev,22-Jul-25,FWD,LASBOR,5,5
Evergreen1,ev,22-Jul-25,FWD,LASCIN,9,9
Evergreen1,ev,22-Jul-25,FWD,LASNOC,2,2
Evergreen1,ev,22-Jul-25,FWD,MYOLUC,4,5
Evergreen1,ev,22-Jul-25,FWD,NoID,19,12
Evergreen2,ev,9-Jul-25,FWD,EPTFUS,15,17
Evergreen2,ev,9-Jul-25,FWD,LASBOR,5,6
Evergreen2,ev,9-Jul-25,FWD,LASCIN,3,3
Evergreen2,ev,9-Jul-25,FWD,NoID,22,19
Evergreen3,ev,11-Jul-25,FWD,EPTFUS,2,2
Evergreen3,ev,11-Jul-25,FWD,LASBOR,2,2
Evergreen3,ev,11-Jul-25,FWD,LASCIN,4,4
Evergreen3,ev,11-Jul-25,FWD,MYOLUC,5,5
Evergreen3,ev,11-Jul-25,FWD,MYOSOD,1,2
Evergreen3,ev,11-Jul-25,FWD,NoID,7,6
Main,canton,7-Jul-25,FWD,EPTFUS,19,23
Main,canton,7-Jul-25,FWD,LASBOR,7,7
Main,canton,7-Jul-25,FWD,LASCIN,7,10
Main,canton,7-Jul-25,FWD,LASNOC,8,16
Main,canton,7-Jul-25,FWD,MYOLUC,4,4
Main,canton,7-Jul-25,FWD,NoID,23,13
DEC_Canton,DEC,18-Jun-25,FWD,EPTFUS,21,24
DEC_Canton,DEC,18-Jun-25,FWD,LASCIN,9,9
DEC_Canton,DEC,18-Jun-25,FWD,LASNOC,4,5
DEC_Canton,DEC,18-Jun-25,FWD,MYOLUC,1,1
DEC_Canton,DEC,18-Jun-25,FWD,NoID,8,4
DEC_CantonReverse,DEC,21-Jun-25,R,EPTFUS,14,14
DEC_CantonReverse,DEC,21-Jun-25,R,LASCIN,7,8
DEC_CantonReverse,DEC,21-Jun-25,R,LASNOC,6,7
DEC_CantonReverse,DEC,21-Jun-25,R,NoID,4,2
DEC_Winthrop,DEC,20-Jun-25,FWD,EPTFUS,23,26
DEC_Winthrop,DEC,20-Jun-25,FWD,LASBOR,1,1
DEC_Winthrop,DEC,20-Jun-25,FWD,LASCIN,4,4
DEC_Winthrop,DEC,20-Jun-25,FWD,LASNOC,12,14
DEC_Winthrop,DEC,20-Jun-25,FWD,NoID,16,12
DEC_WinthropReverse,DEC,23-Jun-25,R,EPTFUS,16,19
DEC_WinthropReverse,DEC,23-Jun-25,R,LASBOR,2,2
DEC_WinthropReverse,DEC,23-Jun-25,R,LASCIN,5,5
DEC_WinthropReverse,DEC,23-Jun-25,R,LASNOC,13,14
DEC_WinthropReverse,DEC,23-Jun-25,R,NoID,11,7
